wav_filename,wav_filesize,transcript
./train/waves/VIVOSSPK31/VIVOSSPK31_136.wav,241080,và tôi biết sẽ phải thực hiện lời hứa kiếm việc khác cho họ nếu không họ sẽ trách là chúng tôi đem con bỏ chợ
./train/waves/VIVOSSPK06/VIVOSSPK06_R098.wav,176044,sau đó bà hàng xóm tính tình xởi lởi chạy qua kể với tôi
./train/waves/VIVOSSPK40/VIVOSSPK40_010.wav,130026,tui nói với vợ con mình có khá giả cũng đừng có lột vỏ
./train/waves/VIVOSSPK28/VIVOSSPK28_065.wav,312080,tuyến đường sắt này chạy từ ga gia lâm hà nội đến ga nam ninh nam ninh trung quốc nơi trung chuyển khách đến tham quan quế lâm
./train/waves/VIVOSSPK41/VIVOSSPK41_168.wav,110026,lần này vừa nói chú xe ôm vừa lấy tay ra dấu chỉ đường
./train/waves/VIVOSSPK06/VIVOSSPK06_T047.wav,126044,mối quan hệ đó cũng bình thường thôi
./train/waves/VIVOSSPK16/VIVOSSPK16_003.wav,110080,dùng thể loại nào là do hiện thực của đời sống đòi hỏi
./train/waves/VIVOSSPK32/VIVOSSPK32_206.wav,342080,rồi một đêm con nhớ mắt mình mở to nhìn thấy một cái bóng tiến đến bên con giật tung tấm chăn mỏng con đắp trên người
./train/waves/VIVOSSPK34/VIVOSSPK34_229.wav,150080,và ông già trương ngọc tường vẫn hằng ngày mê mải bên trang viết giữa đám hiện vật ấy
./train/waves/VIVOSSPK19/VIVOSSPK19_033.wav,108080,tôi không thể tin được vào mắt mình khi nhìn thấy
./train/waves/VIVOSSPK13/VIVOSSPK13_286.wav,69080,có còn hơn không
./train/waves/VIVOSSPK19/VIVOSSPK19_090.wav,104080,một báo cáo trên tạp chí khoa học cho rằng
./train/waves/VIVOSSPK02/VIVOSSPK02_R042.wav,110044,dòng nước đen sì đặc quánh bốc lên
./train/waves/VIVOSSPK18/VIVOSSPK18_219.wav,64080,bốn mươi bốn bốn mươi lăm
./train/waves/VIVOSSPK27/VIVOSSPK27_061.wav,230080,và hàng năm qua các thông tin chúng ta thường nghe nói nhiều về những thiệt hại do động đất gây ra
./train/waves/VIVOSSPK26/VIVOSSPK26_231.wav,244080,cơ quan thanh tra kiến nghị thủ tướng kiểm điểm trách nhiệm cá nhân và đơn vị liên quan
./train/waves/VIVOSSPK19/VIVOSSPK19_078.wav,110080,kết quả điều trị của phương pháp thuyên tắc mạch
./train/waves/VIVOSSPK14/VIVOSSPK14_125.wav,84080,đèn bị hư rồi ba
./train/waves/VIVOSSPK14/VIVOSSPK14_196.wav,78080,nghĩa của từ chổi sể
./train/waves/VIVOSSPK18/VIVOSSPK18_154.wav,78080,khi thủy triều lên quá cao đe dọa thành phố
./train/waves/VIVOSSPK42/VIVOSSPK42_131.wav,118026,và kết quả mang lại là những mảng khối trông đầy ấn tượng
./train/waves/VIVOSSPK38/VIVOSSPK38_128.wav,169080,liệu tôi có giống con bé ở hòn tằm ngẩn ngơ tìm sợi dây chuyền giữa biển
./train/waves/VIVOSSPK10/VIVOSSPK10_R099.wav,78044,mót phế liệu
./train/waves/VIVOSSPK14/VIVOSSPK14_183.wav,70080,khiến vinh buồn ngủ
./train/waves/VIVOSSPK26/VIVOSSPK26_133.wav,274080,nhiều sân bay châu á đang tận dụng tốt hơn lợi thế tăng trưởng du lịch hàng không nhanh nhất thế giới của châu lục
./train/waves/VIVOSSPK27/VIVOSSPK27_031.wav,225080,những nỗ lực ngoại giao nhằm giải quyết các vấn đề song phương còn tồn đọng đã được đẩy nhanh
./train/waves/VIVOSSPK46/VIVOSSPK46_103.wav,118026,thời gian đóng phim mầm sống ngân khánh thường bị chê
./train/waves/VIVOSSPK40/VIVOSSPK40_220.wav,107026,đáp sẽ kinh doanh chỗ ngồi cho các cặp tình nhân
./train/waves/VIVOSSPK44/VIVOSSPK44_013.wav,104026,được chia sẻ được hỗ trợ được tạo điều kiện đi tình nguyện
./train/waves/VIVOSSPK31/VIVOSSPK31_235.wav,154080,một buổi sáng tôi đang loay hoay rửa mặt sau nhà thì nghe ồn ào ngoài ngõ
./train/waves/VIVOSSPK39/VIVOSSPK39_029.wav,244080,để đến được với trường nghề tuyến đã kinh qua nhiều công việc như bán hàng giúp việc thậm chí là quét rác để học bổ túc
./train/waves/VIVOSSPK23/VIVOSSPK23_068.wav,170080,diễn biến lạ này mở ra cho thí sinh nhiều cơ hội nhưng cũng đồng nghĩa với việc phải cẩn trọng hơn
./train/waves/VIVOSSPK11/VIVOSSPK11_R093.wav,116044,nên bạn không cần thiết phải lao vào tấn
./train/waves/VIVOSSPK06/VIVOSSPK06_R036.wav,116044,ông được nhiều người biết đến
./train/waves/VIVOSSPK16/VIVOSSPK16_039.wav,98080,vì vợ chồng con trai đi phụ hồ bên nội thành hải phòng
./train/waves/VIVOSSPK22/VIVOSSPK22_007.wav,80080,kiểu nửa kín nửa hở
./train/waves/VIVOSSPK19/VIVOSSPK19_178.wav,140080,không thể đổ lỗi cho giờ cao điểm nên người đi xe buýt đông
./train/waves/VIVOSSPK17/VIVOSSPK17_016.wav,100080,nhà này đã kịp lún ít nhất một tầng rồi
./train/waves/VIVOSSPK36/VIVOSSPK36_173.wav,157080,nếu ai có bất cứ thông tin gì về cháu vui lòng liên lạc với cơ quan chức năng ngay lập tức
./train/waves/VIVOSSPK21/VIVOSSPK21_298.wav,128080,ngày nay đàn ông nào mà chẳng giống nhau
./train/waves/VIVOSSPK20/VIVOSSPK20_236.wav,54080,bảy mươi tám bảy mươi chín
./train/waves/VIVOSSPK03/VIVOSSPK03_R122.wav,56044,pha lê lóng lánh
./train/waves/VIVOSSPK42/VIVOSSPK42_196.wav,144026,trong những thứ vừa kể tập đánh võ là cực nhất
./train/waves/VIVOSSPK45/VIVOSSPK45_010.wav,154026,bạn có thể mất vài ngày thậm chí vài tuần nếu chơi chế độ này
./train/waves/VIVOSSPK40/VIVOSSPK40_038.wav,114026,các khu đất dự kiến thu hồi để xây dựng nhà ở xã hội
./train/waves/VIVOSSPK27/VIVOSSPK27_187.wav,368080,có phải đây là kết quả của cơ chế bảo thủ ngăn không cho phụ nữ và thành phần thiểu số nắm giữ những cấp bậc cao hơn không
./train/waves/VIVOSSPK34/VIVOSSPK34_266.wav,122080,đến nay với quyết định sắp tới có thể hiểu là ông tiến vô tội
./train/waves/VIVOSSPK41/VIVOSSPK41_188.wav,82026,không có bục giảng giáo trình khô cứng và lạnh ngắt
./train/waves/VIVOSSPK33/VIVOSSPK33_147.wav,230080,sau mỗi chuyến chủ thuyền có thể cho từ vài chục đến vài trăm ngàn tùy theo đánh được nhiều hay ít
./train/waves/VIVOSSPK02/VIVOSSPK02_R016.wav,166044,chúng ta đang được nghe kinh tế của những nước xuất khẩu đang xuống dốc
./train/waves/VIVOSSPK15/VIVOSSPK15_069.wav,86080,anh dễ dàng để vuột mất
./train/waves/VIVOSSPK38/VIVOSSPK38_209.wav,210080,ca nhạc tài tử nam bộ là một trong những đặc sản cây nhà lá vườn được các công ty lữ hành khai thác quảng cáo để thu hút khách
./train/waves/VIVOSSPK44/VIVOSSPK44_041.wav,120026,người giám thị đã ngừng viết được vài giây và đóng nắm bút lại
./train/waves/VIVOSSPK06/VIVOSSPK06_R159.wav,82044,than thì than
./train/waves/VIVOSSPK16/VIVOSSPK16_294.wav,121080,những người hùng thầm lặng thời nay trên đời này còn rất hiếm hoi
./train/waves/VIVOSSPK20/VIVOSSPK20_046.wav,66080,công cắn xé tên trộm
./train/waves/VIVOSSPK43/VIVOSSPK43_134.wav,112026,cần thì cũng có thể đi dạo phố vì khá hợp thời trang
./train/waves/VIVOSSPK17/VIVOSSPK17_140.wav,82080,úm ba la cả nhà làm giám đốc
./train/waves/VIVOSSPK43/VIVOSSPK43_280.wav,128026,có khi người ta cho gạo đường sữa bột ngọt quần áo cũ
./train/waves/VIVOSSPK21/VIVOSSPK21_263.wav,202080,hạnh là một người con gái sinh ra trong một gia đình giàu có
./train/waves/VIVOSSPK16/VIVOSSPK16_136.wav,72080,tuy nhiên bạn cũng cần chọn nơi nào
./train/waves/VIVOSSPK45/VIVOSSPK45_184.wav,130026,họ xem cười bàn tán sôi nổi và lặng đi suy nghĩ
./train/waves/VIVOSSPK43/VIVOSSPK43_105.wav,92026,những ngày nạn nhân nằm viện tôi đâu dám cho con tôi đến thăm
./train/waves/VIVOSSPK02/VIVOSSPK02_R010.wav,118044,cũng có nhiều rủi ro bị bệnh này luôn
./train/waves/VIVOSSPK20/VIVOSSPK20_278.wav,74080,đông phong dẫu nhẹ rụng trăm hoa
./train/waves/VIVOSSPK29/VIVOSSPK29_179.wav,253080,giờ đây tôi đã chấp nhận sự khác biệt của mỗi con người chấp nhận những ý kiến khác nhau trên tinh thần chung sống hòa bình
./train/waves/VIVOSSPK09/VIVOSSPK09_R168.wav,115044,mỗi lần bước đi là tôi phải nghiêng một bên người
./train/waves/VIVOSSPK46/VIVOSSPK46_096.wav,146026,giúp cân bằng thần kinh thư giãn tâm hồn đem lại niềm vui
./train/waves/VIVOSSPK04/VIVOSSPK04_R007.wav,146044,rải những tia nắng chan hòa lên đám lá rung rinh
./train/waves/VIVOSSPK08/VIVOSSPK08_T005.wav,158044,nam tử việt đại hạ nhân đầu đội quyền chân đạp nghĩa
./train/waves/VIVOSSPK32/VIVOSSPK32_159.wav,208080,nếu không giải toán nhanh học bài không kỹ hoặc học tủ sẽ rất khó khăn
./train/waves/VIVOSSPK20/VIVOSSPK20_111.wav,58080,tôi mặc áo bơi liền người
./train/waves/VIVOSSPK14/VIVOSSPK14_248.wav,87080,một ba năm bảy chín
./train/waves/VIVOSSPK17/VIVOSSPK17_093.wav,54080,thời trẻ má tảo tần
./train/waves/VIVOSSPK26/VIVOSSPK26_281.wav,200080,kiên nhẫn để thông cảm và cùng vượt qua những trở ngại trong tình yêu
./train/waves/VIVOSSPK17/VIVOSSPK17_100.wav,164080,hầu như các trình biên tập ảnh dưới đây đều cung cấp hoàn toàn miễn phí
./train/waves/VIVOSSPK09/VIVOSSPK09_R086.wav,122044,có những bà mẹ đang kỳ cho con bú
./train/waves/VIVOSSPK16/VIVOSSPK16_277.wav,84080,tôi chỉ ghét mấy nhà xe nhồi nhét khách
./train/waves/VIVOSSPK03/VIVOSSPK03_R195.wav,94044,những con vật này đã bị giết và đốt
./train/waves/VIVOSSPK44/VIVOSSPK44_054.wav,92026,tình hình nhật bản từ sau chiến tranh thế giới thứ hai đến nay
./train/waves/VIVOSSPK18/VIVOSSPK18_062.wav,74080,ngày ngày vẫn bon bon trên tuyến đường này
./train/waves/VIVOSSPK19/VIVOSSPK19_225.wav,102080,năm mươi sáu năm mươi bảy
./train/waves/VIVOSSPK22/VIVOSSPK22_122.wav,110080,sống trong đô thị và các vùng lân cận
./train/waves/VIVOSSPK11/VIVOSSPK11_R179.wav,102044,mặc cha la mắng chửi rủa
./train/waves/VIVOSSPK38/VIVOSSPK38_053.wav,256080,xem ra các anh chàng được nhiều cô săn đón cũng trở nên nổi đình nổi đám khi hết cô này đến cô kia giành giật mình
./train/waves/VIVOSSPK30/VIVOSSPK30_021.wav,260080,liên quan việc đưa thông tin về giá bất động sản hiện nay các công ty môi giới có một cách đưa khác nhau
./train/waves/VIVOSSPK45/VIVOSSPK45_272.wav,150026,sau buổi trình diễn em chạy thẳng tới chỗ tôi hoàn toàn tự mãn
./train/waves/VIVOSSPK13/VIVOSSPK13_188.wav,150080,và gây đau cũng có thể là tình tình trạng thoái hóa khớp
./train/waves/VIVOSSPK45/VIVOSSPK45_079.wav,109026,ngày nay người ta nói về đạo ki tô của lễ kiên tín
./train/waves/VIVOSSPK38/VIVOSSPK38_253.wav,276080,bên cạnh việc học ở trường trần tôn trung sơn còn say mê học lập trình học thêm toán anh văn vào buổi tối
./train/waves/VIVOSSPK21/VIVOSSPK21_212.wav,83080,ba mươi ba mươi mốt
./train/waves/VIVOSSPK36/VIVOSSPK36_022.wav,152080,anh bảo sách mà không sử dụng cũng chỉ là đống giấy vô tri giác
./train/waves/VIVOSSPK22/VIVOSSPK22_036.wav,79080,nhìn thông báo lỗi
./train/waves/VIVOSSPK44/VIVOSSPK44_251.wav,94026,anh biết đó anh chưa viết thư cho em bao giờ cả
./train/waves/VIVOSSPK40/VIVOSSPK40_106.wav,104026,hãy chào năm mới bằng một ngày mới thật thư thái và sảng khoái
./train/waves/VIVOSSPK16/VIVOSSPK16_059.wav,87080,đang tấp nập ngày đêm trên con đường xuyên việt
./train/waves/VIVOSSPK35/VIVOSSPK35_093.wav,471080,sau khi có thai đề thì bàn đề được coi như là quá trình khai hoa nở nhụy đề
./train/waves/VIVOSSPK27/VIVOSSPK27_142.wav,414080,sau giải đấu này các đội bóng sẽ gút lại danh sách sau cùng về ngoại binh lẫn nội binh cho mùa bóng mới
./train/waves/VIVOSSPK32/VIVOSSPK32_113.wav,181080,xét về kinh tế thì đó là yếu tố rất tích cực không nên hạn chế
./train/waves/VIVOSSPK34/VIVOSSPK34_111.wav,162080,quay lại một vấn đề rất nóng trong công tác điều hành của chính phủ năm qua là kiểm soát lạm phát
./train/waves/VIVOSSPK05/VIVOSSPK05_T038.wav,141044,mắc chứng thần kinh co giật và viêm khớp từ bé
./train/waves/VIVOSSPK35/VIVOSSPK35_230.wav,475080,theo bác sĩ hoàng lê phúc đó là một số biến chứng do giun đường ruột thường gặp như giun đũa giun kim và giun móc gây ra cho trẻ
./train/waves/VIVOSSPK09/VIVOSSPK09_T037.wav,88044,tôi chỉ yêu loài vật
./train/waves/VIVOSSPK10/VIVOSSPK10_T022.wav,93044,chào anh em tên hạnh
./train/waves/VIVOSSPK08/VIVOSSPK08_R042.wav,136044,số ma túy bị thiếu được dùng làm thù lao cho các nguồn tin
./train/waves/VIVOSSPK40/VIVOSSPK40_098.wav,128026,có người mặc cho dòng đời đưa đẩy ngày mai ra sao thì đã sao
./train/waves/VIVOSSPK17/VIVOSSPK17_198.wav,81080,từ khâu lấy nhiên liệu đầu vào
./train/waves/VIVOSSPK16/VIVOSSPK16_020.wav,119080,toàn bộ nội dung buổi lễ được đọc qua loa phóng thanh
./train/waves/VIVOSSPK18/VIVOSSPK18_244.wav,62080,chín mươi bốn chín mươi lăm
./train/waves/VIVOSSPK18/VIVOSSPK18_101.wav,92080,tôi chỉ thích ngồi một mình hàng giờ trên ngọn cây
./train/waves/VIVOSSPK27/VIVOSSPK27_150.wav,236080,muốn đi đâu kể cả đi học thêm em cũng phải chờ bố hoặc mẹ đưa đi đón về
./train/waves/VIVOSSPK13/VIVOSSPK13_108.wav,100080,anh của chí lo lắng
./train/waves/VIVOSSPK41/VIVOSSPK41_067.wav,114026,lời văn vẫn sắc bén thấy chú vẫn đẹp hồng hào và rất khỏe
./train/waves/VIVOSSPK44/VIVOSSPK44_035.wav,99026,nhưng vì điều kiện eo hẹp nên cứ phải liệu cơm gắp mắm
./train/waves/VIVOSSPK10/VIVOSSPK10_R093.wav,98044,nằm sâu bên trong lỗ chân lông
./train/waves/VIVOSSPK12/VIVOSSPK12_T047.wav,112044,phiên bản đầu tiên ra mắt thứ bảy tuần trước
./train/waves/VIVOSSPK14/VIVOSSPK14_130.wav,152080,những khoảng trống trên tường cho biết nhiều bức tranh đã được bán
./train/waves/VIVOSSPK22/VIVOSSPK22_148.wav,143080,vì tất cả việc đại tiểu tiện đều diễn ra ở đó
./train/waves/VIVOSSPK05/VIVOSSPK05_R062.wav,57044,mắm cáy
./train/waves/VIVOSSPK21/VIVOSSPK21_218.wav,100080,bốn mươi hai bốn mươi ba
./train/waves/VIVOSSPK11/VIVOSSPK11_R020.wav,144044,điều đó dễ dàng hơn là việc kể về sự thích thú
./train/waves/VIVOSSPK06/VIVOSSPK06_R005.wav,96044,bằng cách mua bảo hiểm mùa màng
./train/waves/VIVOSSPK04/VIVOSSPK04_T003.wav,93044,cả ngày không có gì làm
./train/waves/VIVOSSPK09/VIVOSSPK09_R151.wav,106044,năm nay là bước ngoặc trong cuộc đời của con
./train/waves/VIVOSSPK43/VIVOSSPK43_172.wav,101026,còn nếu nó không đi thì ra sân dây lỏng ráng mà chịu
./train/waves/VIVOSSPK08/VIVOSSPK08_R102.wav,38044,làm giua
./train/waves/VIVOSSPK05/VIVOSSPK05_R119.wav,117044,chỉ cách cửa sông không đầy chục cây số
./train/waves/VIVOSSPK28/VIVOSSPK28_137.wav,188080,hắn có dáng vẻ khó nhìn cái đầu to quá khổ như mọc lên từ phần thân gầy thấp
./train/waves/VIVOSSPK20/VIVOSSPK20_222.wav,56080,năm mươi năm mươi mốt
./train/waves/VIVOSSPK32/VIVOSSPK32_131.wav,315080,các trường hợp đau bàn chân kéo dài mà không điều trị khỏi thường do bỏ sót hoặc nhầm lẫn các bệnh sau
./train/waves/VIVOSSPK25/VIVOSSPK25_035.wav,276080,nay vì sinh kế dân nghèo về ở nhiều rừng bị khai thác nhiều vì vậy giữ rừng không đơn giản
./train/waves/VIVOSSPK37/VIVOSSPK37_009.wav,269080,cả vùng thác rộn lên tiếng chim muông hòa với tiếng nước ào ào thành một bản nhạc không lời tại nơi thiên nhiên hoang sơ kỳ bí này
./train/waves/VIVOSSPK28/VIVOSSPK28_002.wav,186080,sự thật thì tất cả mọi người đều có thể trở thành nhân viên tận tâm với nghề
./train/waves/VIVOSSPK10/VIVOSSPK10_R070.wav,113044,còn có khái niệm rõ ràng về số lượng
./train/waves/VIVOSSPK42/VIVOSSPK42_200.wav,114026,tuy nhiên hiện chưa có cơ chế nào cho quỹ tái chế hoạt động
./train/waves/VIVOSSPK45/VIVOSSPK45_256.wav,138026,bộ giáo dục nước này đã phải hoãn năm học vô thời hạn
./train/waves/VIVOSSPK15/VIVOSSPK15_234.wav,100080,bảy mươi bốn bảy mươi lăm
./train/waves/VIVOSSPK27/VIVOSSPK27_113.wav,208080,hỏi như vậy làm sao mình có đủ can đảm để nói lên sự thật này
./train/waves/VIVOSSPK43/VIVOSSPK43_102.wav,120026,có lẽ không ai nhanh nhạy và cũng liều bằng ông ngọc
./train/waves/VIVOSSPK17/VIVOSSPK17_139.wav,116080,mà không cần phải có những thứ mà bạn đang mong mỏi
./train/waves/VIVOSSPK46/VIVOSSPK46_224.wav,157026,nhưng quan trọng là ta phải biết mình muốn làm gì và tại sao
./train/waves/VIVOSSPK09/VIVOSSPK09_R109.wav,148044,luôn là những điều ông ta làm thật sự khiến bạn bực mình
./train/waves/VIVOSSPK05/VIVOSSPK05_R057.wav,105044,có khẩu âm thuộc các địa phương khác nhau
./train/waves/VIVOSSPK16/VIVOSSPK16_132.wav,80080,thì thiên tai lại đều đặn giáng xuống miền trung
./train/waves/VIVOSSPK35/VIVOSSPK35_232.wav,430080,các kính chiếu hậu ống xả và ống nhiên liệu được làm bằng đá trắng các bánh xe làm bằng đá xanh màu bùn
./train/waves/VIVOSSPK13/VIVOSSPK13_089.wav,178080,vòm dây leo xanh bạn có thể sử dụng hàng hiên trước nhà
./train/waves/VIVOSSPK09/VIVOSSPK09_T046.wav,81044,sống với em anh nhé
./train/waves/VIVOSSPK42/VIVOSSPK42_037.wav,130026,nhiều bạn hồi đầu tò mò đến tham gia thử sau đó thì
./train/waves/VIVOSSPK13/VIVOSSPK13_004.wav,200080,chật và bó ở phần trên hoặc dưới cùng của cơ thể
./train/waves/VIVOSSPK01/VIVOSSPK01_R009.wav,150044,các bàn học nhỏ hằng ngày nay trở thành bàn thờ của các cháu
./train/waves/VIVOSSPK36/VIVOSSPK36_129.wav,259080,nói vắn tắt chọn lầm nghề là chọn phải nghề không tương thích nghĩa là về căn bản không hợp với tính cách và năng lực của ta
./train/waves/VIVOSSPK13/VIVOSSPK13_091.wav,94080,trong khoảng một tuần tới
./train/waves/VIVOSSPK26/VIVOSSPK26_035.wav,296080,nhưng chúng tôi nghĩ họ đã đi đúng hướng và hơn ai hết họ hiểu họ cần gì nền y học và nền y tế nước nhà cần gì
./train/waves/VIVOSSPK14/VIVOSSPK14_100.wav,154080,ngọn lửa bạo động ở trung đông và phá vỡ lộ trình hòa bình
./train/waves/VIVOSSPK01/VIVOSSPK01_R097.wav,114044,bà con trong xóm đến dự rình rang
./train/waves/VIVOSSPK20/VIVOSSPK20_198.wav,94080,dự đoán ba tháng nữa giá cà phê sẽ tăng gấp đôi hiện nay
./train/waves/VIVOSSPK02/VIVOSSPK02_R177.wav,46044,nếu nắng tốt
./train/waves/VIVOSSPK10/VIVOSSPK10_R039.wav,149044,thì họ hàng buôn còn phải đóng góp đồ cúng
./train/waves/VIVOSSPK12/VIVOSSPK12_R170.wav,132044,nên tiếp tục tìm cách tiêu thoát nước chống úng ngập
./train/waves/VIVOSSPK44/VIVOSSPK44_184.wav,104026,có trường hợp người mẹ bị lừa để ký vào giấy từ bỏ con
./train/waves/VIVOSSPK17/VIVOSSPK17_284.wav,52080,con tôi cũng tên minh
./train/waves/VIVOSSPK17/VIVOSSPK17_092.wav,84080,từng cái riết vào da mạnh mẽ
./train/waves/VIVOSSPK08/VIVOSSPK08_R147.wav,82044,năm chiến sĩ còn lại
./train/waves/VIVOSSPK18/VIVOSSPK18_212.wav,82080,ba mươi ba mươi mốt
./train/waves/VIVOSSPK20/VIVOSSPK20_250.wav,62080,một hai ba bốn năm
./train/waves/VIVOSSPK04/VIVOSSPK04_T030.wav,77044,bậy nào nói với năng
./train/waves/VIVOSSPK05/VIVOSSPK05_R043.wav,120044,họ không thích bị chỉ trích hay dồn vào chân tường
./train/waves/VIVOSSPK34/VIVOSSPK34_018.wav,136080,sao mày không ước cho lùi cái hạn cấm xe tự chế để còn kiếm cơm nuôi tụi nhỏ
./train/waves/VIVOSSPK35/VIVOSSPK35_119.wav,372080,đồng chí sở phải hiểu tâm lý người dân nông thôn thế này cái gì mà nắm chắc được dân mới tin
./train/waves/VIVOSSPK45/VIVOSSPK45_174.wav,106026,một kỷ niệm đẹp suốt đời tôi sẽ không bao giờ quên
./train/waves/VIVOSSPK27/VIVOSSPK27_128.wav,254080,cô vuốt mái tóc ngọc lượng nhưng đây là điều bí mật em không cần để họ chiếm lĩnh tâm trí em
